Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Czechia,CZE,3619970.855,3601495.8832000005,4907507.166499999,5348181.3804,6539184.509099999,6729027.9648,7208488.961999999,7398692.4312,7718069.425500001,7792169.036288001,7813144.008999001,7980076.292592001,8081257.509584,8339856.838096,8577097.564496,8630010.441030001,8701520.020762,8685184.747032,9022219.229318,9342435.141522
Germany,DEU,53412775.098000005,56664739.8562,59442847.0416,61831405.195199996,64045875.66,64702822.53,67057082.6,65239478.6841,66230665.240499996,67879405.72850001,69801813.1025,71549139.201678,69308921.961188,69757715.581884,72158788.385122,73233566.59389,74689189.910359,76066673.291868,76783926.05953,77014345.92
Djibouti,DJI,6454.64725308,8002.388820370001,10868.5451056,14167.3536,20175.788399999998,36461.08,60466.315,66399.06,90874.21800000001,125072.64799999999,170461.89,233651.677,319597.124,587350.236574,621691.56,646061.69478,690857.439552,718062.916672,739478.544912,1090409.8546986666
Dominica,DMA,20814.102204,26492.558023999998,27108.325492000004,27727.785015,28340.306399999998,28936.652800000003,32673.595500000003,33559.758,34420.763999999996,35554.65,40464.475,45766.5,46656.9018,47686.709711999996,52943.655704,49811.633720000005,51123.501891,55341.250212000006,55717.313541999996,64299.11892
Denmark,DNK,4373880.463900001,4484038.0368,4711396.188,4643860.7314,4670676.5742,4796255.698,4921904.3576,5002930.7132,5158784.3272,5313393.306804,5417369.174125,5474927.591315,5554325.28078,5597760.990119999,5638320.206112,5700831.451808001,5630168.079363999,5790311.791046999,5776717.9112370005,5874137.519712
Dominican Republic,DOM,807198.7527060001,1059329.104288,1386689.275167,1669869.2028,1993125.666,2687527.458,3083534.95,3779335.98,4261797.9352,4678969.347,5114438.7824,5657326.020982,6739293.30387,7207713.8172160005,8067347.69566,8684240.847665,8984677.2359,9481984.64668,9476852.732688,10374576.740952464
Algeria,DZA,1512151.3890127998,1934884.6460106,2480063.0778588,3231306.6660504,3544366.6298,3985576.9735000003,4523529.5,5498603.024,6851602.211999999,8643188.475,11565484.145,15287460.078000002,17543546.387055002,19882085.275389,20843831.588475,25534084.161696002,26713025.622594,29647782.489244003,32399547.200048,38934248.78335109
East Asia & Pacific (excluding high income),EAP,129344328.28713495,157567480.8001178,194269952.42806587,276874699.0625934,373361332.3675668,464106653.2000651,570312963.3606846,642916362.2637773,715694332.3028525,773736574.1107359,839596143.1906453,904976837.6448442,986305151.3367321,1044505505.6032686,1173607400.1048632,1281211149.692065,1411229382.9176311,1507139167.1446264,1596857974.9427857,1648463039.8027549
Early-demographic dividend,EAR,113325763.03543931,133707605.96591392,160076760.4407879,206590577.84987816,242948518.00784877,281311897.65753824,378504305.5550858,460775399.3700716,520638975.8066191,586476106.4837554,673247979.7337505,775566315.3873241,875693202.7356604,978794549.3502688,1089252798.165938,1331951262.7366483,1633228894.2201052,1781364362.517234,2610701489.417189,2740747902.2359605
East Asia & Pacific,EAS,267977440.44635314,313782239.37899995,359165052.64599997,450745679.90400004,552418526.814,648748867.385,757397924.73,832098312.8479999,908628882.772,981642220.1659999,1039395421.61,1111307781.927,1197928321.986,1255409829.76,1382722455.425,1505533955.42,1634912690.58,1729105134.8479998,1799014111.7759998,1883726252.69
Europe & Central Asia (excluding high income),ECA,18821542.04408439,20866276.167950064,26159638.33845348,36826553.13636813,46745897.92099722,57027129.742971174,69334786.15895447,81005050.08921821,92267192.3218697,101890154.10895136,115723428.84297554,124682425.9668219,136298272.2206655,147869953.136929,168070585.80695787,182804230.61847457,187884481.78153315,198472751.80485657,205327705.49612245,210653118.86399996
Europe & Central Asia,ECS,281490029.73565084,303752252.01350003,333606199.0,383827546.106,425127147.263,467597107.55300003,507555788.64,537201885.773,572473521.495,596722101.105,622175093.288,634104361.4089999,659793068.6954999,681679661.748,718315653.3025,741017857.734,771523846.9470001,795565229.28,813413709.0255,833397848.365
